,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
692,22,0.2,26,1,0.717271905,0.63720095
693,31,0.2,26,1,0.720204275,0.65571946
694,40,0.2,26,1,0.721441325,0.6013381
695,4,0.3,26,1,1.3269744,1.2176344
696,13,0.3,26,1,0.429705048,0.40574843
697,22,0.3,26,1,0.777565346,0.7548901
698,31,0.3,26,1,0.781265935,0.7978049
699,40,0.3,26,1,0.783373859,0.7261131
700,4,0.4,26,1,1.6324407,1.6435488
701,13,0.4,26,1,0.555679414,0.5541728
702,22,0.4,26,1,0.99949628,0.97750163
703,31,0.4,26,1,1.003578409,1.040285
704,40,0.4,26,1,1.006415928,1.002828
705,4,0.5,26,1,1.969139331,1.9169565
706,13,0.5,26,1,0.594700708,0.532554
707,22,0.5,26,1,1.094300089,0.99622405
708,31,0.5,26,1,1.098335446,1.0606354
709,40,0.5,26,1,1.101170442,1.0477028
710,4,0.6,26,1,2.037714126,1.9771684
711,13,0.6,26,1,0.389514013,0.22873044
712,22,0.6,26,1,0.865625248,0.6929965
713,31,0.6,26,1,0.868949098,0.76423526
714,40,0.6,26,1,0.871483496,0.7664665
715,4,0.7,26,1,1.939559236,1.9789099
716,13,0.7,26,1,0.016564496,0.030567974
717,22,0.7,26,1,0.382234248,0.2390062
718,31,0.7,26,1,0.384756776,0.28985444
719,40,0.7,26,1,0.386752642,0.29255974
720,4,0.2,32,1,1.101926984,1.1217728
721,13,0.2,32,1,0.269270149,0.27311543
722,22,0.2,32,1,0.688684358,0.60562974
723,31,0.2,32,1,0.695935414,0.6456504
724,40,0.2,32,1,0.698511557,0.56987697
725,4,0.3,32,1,1.340992076,1.3938311
726,13,0.3,32,1,0.435799797,0.37119544
727,22,0.3,32,1,1.044330053,0.87686884
728,31,0.3,32,1,1.056225769,0.96495277
729,40,0.3,32,1,1.059915698,0.89737403
730,4,0.4,32,1,1.684198115,1.7567279
731,13,0.4,32,1,0.714145069,0.59730834
732,22,0.4,32,1,1.51424237,1.2334665
733,31,0.4,32,1,1.530996925,1.327841
734,40,0.4,32,1,1.535338774,1.3078521
735,4,0.5,32,1,1.982679128,1.9397467
736,13,0.5,32,1,0.721498057,0.59539974
737,22,0.5,32,1,1.599837113,1.2970695
738,31,0.5,32,1,1.619094743,1.3945715
739,40,0.5,32,1,1.623149897,1.3962181
740,4,0.6,32,1,1.806129457,1.8017583
741,13,0.6,32,1,0.376270979,0.31773022
742,22,0.6,32,1,1.164393832,1.0584579
743,31,0.6,32,1,1.182000514,1.2117491
744,40,0.6,32,1,1.231460687,1.2361838
745,4,0.7,32,1,1.549929624,1.5381432
746,13,0.7,32,1,0.082529995,0.09298188
747,22,0.7,32,1,0.575020475,0.5835747
748,31,0.7,32,1,0.591125755,0.76403457
749,40,0.7,32,1,0.566859634,0.79717505
750,25,0.41,30,0.59,0.326554707,0.40305135
751,13,0.6,13,0.65,0.823676049,0.8286013
752,34,0.42,9,0.81,1.608990286,0.32489255
753,40,0.35,14,1,0.47746635,0.34979817
754,7,0.33,10,0.97,0.194487456,0.21415155
755,15,0.45,31,0.98,1.058247714,0.797337
756,21,0.21,23,0.77,0.357829501,0.32444164
757,4,0.32,20,0.78,1.753434446,1.7354647
758,7,0.32,29,0.55,2.278139958,2.3069289
759,19,0.52,26,0.98,0.995062593,0.8149741
760,12,0.57,25,0.61,0.708725662,0.7080136
761,6,0.43,25,0.6,1.982557748,1.8782634
762,39,0.49,25,0.55,0.554480583,0.55453485
763,27,0.59,16,0.78,0.33506886,0.33226866
764,4,0.55,27,0.93,2.189784471,2.1260362
765,28,0.42,26,0.92,0.748495419,0.7847368
766,23,0.2,20,0.51,1.629887868,1.6703745
767,16,0.56,18,0.62,0.699609868,0.712672
768,30,0.3,30,0.62,1.142281728,1.1184077
769,23,0.47,31,0.68,0.396876717,0.3123761
770,40,0.25,8,0.91,0.481094137,0.32025734
771,18,0.32,12,0.54,1.080429688,1.0805494
772,25,0.56,15,0.69,0.617311113,0.6276253
773,17,0.28,32,0.99,0.729703011,0.54921716
774,18,0.4,32,0.74,0.318433592,0.2924853
775,34,0.28,23,0.97,0.557213428,0.5517817
776,36,0.58,32,0.73,0.616145154,0.48589456
777,9,0.59,26,0.98,0.644370649,0.35160044
778,37,0.35,19,0.61,1.075042346,1.1174121
779,18,0.51,16,0.84,0.11392593,0.16249633
780,16,0.58,8,0.67,0.747041653,0.7249592
781,9,0.44,26,0.77,1.02130114,0.69221073
782,8,0.29,18,0.63,1.482343441,1.3918587
783,25,0.43,26,0.59,0.537281206,0.5453602
784,38,0.29,30,0.58,1.445385825,1.4475664
785,23,0.52,24,1,0.913943983,0.82864696
786,37,0.27,26,0.77,0.475547371,0.3493706
787,24,0.57,9,0.82,0.399662279,0.46730128
788,30,0.45,30,0.74,0.482331029,0.47780955
789,29,0.21,29,0.56,1.976519121,1.925589
790,23,0.35,24,0.84,0.045429512,0.28475368
791,30,0.47,29,0.73,0.410197492,0.40112376
792,38,0.41,31,0.6,0.193203788,0.27886936
793,27,0.33,32,0.51,1.190122436,1.2472154
794,15,0.59,9,0.91,0.251645239,0.25469825
795,9,0.45,15,0.73,0.867389215,0.87529534
796,17,0.45,28,0.62,0.260034216,0.34474963
797,22,0.44,17,0.65,0.762520752,0.77765393
798,37,0.47,18,0.84,0.008915274,0.14354925
799,18,0.34,16,0.87,0.085726764,0.1336227
800,22,0.3,23,0.57,1.462774523,1.487811
801,22,0.51,13,0.59,0.968576798,0.95589453
802,9,0.21,21,0.63,1.422687467,1.3664911
803,28,0.24,12,0.94,0.162782492,0.14017048
804,34,0.36,16,0.75,0.374520723,0.32730553
805,6,0.57,13,0.87,1.247568228,1.2025896
806,18,0.4,13,0.89,0.073069424,0.121047065
807,31,0.47,27,0.79,0.451205206,0.45342386
808,17,0.42,22,0.95,0.556182114,0.49662226
809,37,0.33,31,0.63,0.749319367,0.7421498
810,29,0.37,20,0.83,0.079369605,0.17841025
811,23,0.21,23,0.51,1.939846824,1.8798505
812,27,0.34,10,0.9,0.024860617,0.07066255
813,22,0.49,14,0.94,0.135381274,0.17249154
814,34,0.26,20,0.97,0.552209117,0.53159595
815,7,0.23,10,0.7,0.622436602,0.71805763
816,30,0.46,20,0.74,0.288389466,0.22765285
817,40,0.35,26,0.91,0.456616014,0.48241058
818,18,0.4,24,0.5,1.191771446,1.2171117
819,29,0.56,20,0.75,0.177463021,0.16867739
820,11,0.56,21,0.71,0.668853362,0.60271025
821,22,0.39,14,0.83,0.104573371,0.13496856
822,31,0.33,20,0.74,0.473971461,0.3691309
823,26,0.24,30,0.69,1.092575503,1.118854
824,24,0.43,24,0.67,0.382810134,0.33847573
825,28,0.21,18,0.96,2.972375191,0.38196036
826,12,0.5,26,0.56,0.903911026,0.8082152
827,25,0.5,32,0.86,1.153406294,1.024324
828,33,0.55,16,0.89,0.006253788,0.12554187
829,14,0.3,28,0.91,0.137889231,0.2821734
830,4,0.2,14,0.81,0.93331843,0.92257446
831,26,0.35,30,0.85,0.450842635,0.5372404
832,6,0.51,10,0.98,0.646166504,0.5256832
833,30,0.27,24,0.7,0.835590757,0.7996604
834,20,0.46,12,0.82,0.220004894,0.22271761
835,19,0.27,21,0.61,1.217411286,1.3135022
836,19,0.57,13,0.93,0.05350191,0.13925059
837,18,0.32,20,0.53,1.551900542,1.5745794
838,19,0.29,9,0.7,0.457825513,0.6433309
839,31,0.28,26,0.7,0.888714343,0.78183943
840,4,0.22,9,0.74,1.000452006,0.9126713
841,18,0.34,11,0.75,0.296011327,0.45021668
842,15,0.55,10,0.72,0.601816223,0.64803106
843,39,0.21,31,0.5,2.485311647,2.3777635
844,9,0.54,20,0.62,1.249377875,1.0729834
845,34,0.32,14,0.66,0.682362109,0.7511196
846,11,0.24,13,0.77,0.188914815,0.30516618
847,35,0.4,22,0.91,0.385163324,0.42079696
848,28,0.36,23,0.57,1.190344225,1.1902244
849,9,0.51,24,0.99,0.45912183,0.3819816
850,33,0.56,32,0.84,1.000294383,0.9229842
851,24,0.49,31,0.64,0.286659029,0.22179759
852,10,0.23,22,0.96,0.037310505,0.23046571
853,36,0.31,11,0.58,1.410258575,0.8380826
854,39,0.46,31,0.86,1.035162718,0.9651736
855,6,0.57,20,0.64,2.107373848,1.6983645
856,33,0.21,32,0.5,2.526180833,2.4357474
857,28,0.43,22,0.93,0.521054993,0.53609365
858,4,0.56,28,0.99,2.045198533,1.9565586
859,10,0.27,22,0.86,0.481002086,0.27292392
860,20,0.28,16,0.67,0.676659209,0.7520082
861,20,0.56,22,0.79,0.086389469,0.09760735
862,31,0.47,26,0.59,0.385177876,0.37014866
863,9,0.43,32,1,0.419713498,0.50584775
864,29,0.54,10,0.8,0.399415335,0.45425984
865,22,0.23,8,0.79,0.548911304,0.6371717
866,40,0.46,15,0.54,1.165999014,1.1451943
867,38,0.25,21,0.7,0.734901209,0.7318144
868,11,0.38,20,0.73,0.809711334,0.76325685
869,16,0.42,26,0.67,0.390020143,0.40668884
870,10,0.44,27,0.77,0.783437172,0.4867992
871,18,0.44,27,0.91,0.776804084,0.6677906
872,9,0.21,20,0.75,0.758503252,0.80295485
873,25,0.45,9,0.57,0.919365663,0.91169333
874,12,0.29,16,0.94,0.303234963,0.23420916
875,14,0.31,29,0.82,0.328090815,0.34214303
876,7,0.5,18,0.74,1.419313812,1.1588432
877,18,0.47,18,0.76,0.30296039,0.2706343
878,20,0.43,16,0.57,1.084412277,1.0974832
879,34,0.2,22,0.91,0.380106998,0.22972015
880,21,0.55,13,0.67,0.738519254,0.7326721
881,6,0.34,27,0.86,1.484588565,1.1925857
882,37,0.28,9,0.85,0.212737113,0.1289397
883,9,0.27,18,0.92,0.148309723,0.17714605
884,4,0.3,28,0.87,1.704953689,1.751408
885,39,0.25,27,0.81,0.318729759,0.23702824
886,8,0.34,19,0.67,1.448445687,1.3174292
887,33,0.51,23,0.57,0.58506986,0.5728555
888,7,0.22,9,0.61,0.804904441,0.7555588
889,5,0.43,23,0.64,2.175803244,2.1052368
890,33,0.57,18,0.83,0.062286368,0.12724678
891,20,0.37,11,0.96,0.21870861,0.15510656
892,7,0.48,29,0.72,1.58065976,1.3128651
893,30,0.5,25,0.71,0.048308932,0.1691797
894,39,0.3,18,0.78,0.275496712,0.17709112
895,39,0.57,18,0.89,0.095194876,0.11309125
896,35,0.25,25,0.76,0.566883547,0.4069882
897,9,0.46,28,0.93,0.593256627,0.3985697
898,10,0.3,13,0.87,0.007870085,0.10425574
899,6,0.35,19,0.89,1.176180337,0.78673214
900,25,0.31,9,0.73,0.387283228,0.5786213
901,29,0.46,19,0.62,0.769319987,0.75490224
902,33,0.21,8,0.95,0.652660369,0.5876242
903,29,0.3,10,0.59,0.749080229,0.7638587
904,36,0.3,29,0.51,1.723504686,1.6688275
905,30,0.4,16,0.84,0.060308934,0.12811059
906,19,0.51,18,0.74,0.350071711,0.3051634
907,9,0.52,23,0.79,0.915577915,0.6040974
908,30,0.42,19,0.69,0.592928585,0.50463134
909,38,0.49,30,0.73,0.539437101,0.4265555
910,16,0.23,22,0.84,0.033978073,0.1406206
911,19,0.4,32,0.52,0.590087251,0.7101668
912,24,0.47,25,0.65,0.23259614,0.26233837
913,18,0.4,23,0.7,0.457284594,0.41194373
914,27,0.52,14,0.68,0.683043152,0.6903939
915,24,0.49,30,0.52,0.291499732,0.34748667
916,11,0.39,27,0.69,0.970796981,0.8539534
917,19,0.2,28,0.5,2.321079884,2.2611444
918,33,0.52,10,0.68,0.683190184,0.7052666
919,17,0.2,20,0.84,0.112070592,0.09647758
920,4,0.49,22,0.78,2.406597343,2.479858
921,9,0.37,14,0.79,0.525169258,0.4957412
922,5,0.27,13,0.8,0.950885512,0.7551075
923,37,0.47,30,0.91,1.162508054,1.0882127
924,22,0.45,27,0.93,0.92479322,0.8692667
925,35,0.27,10,0.53,0.927509753,0.8315941
926,16,0.39,29,0.64,0.501142588,0.5642553
927,13,0.28,30,0.76,0.892103462,0.8936823
928,35,0.3,10,0.97,0.099890461,0.16381776
929,20,0.58,21,0.78,0.03216401,0.096140794
930,19,0.36,17,0.82,0.130840479,0.15430158
931,24,0.43,23,0.7,0.343435405,0.28956288
932,17,0.23,26,0.53,1.991957288,1.9775695
933,6,0.27,16,0.73,1.192670769,1.0726236
934,25,0.36,24,0.75,0.330972543,0.27375504
935,13,0.56,11,0.7,0.67753594,0.70750695
936,23,0.35,13,0.69,0.555046141,0.658506
937,17,0.59,14,0.6,0.925677951,0.89798236
938,18,0.22,28,0.5,2.335776339,2.2201385
939,14,0.32,12,0.81,0.093319575,0.16917247
